source_id,raw_latitude,raw_longitude,reason
10079,,,invalid_or_unknown_coordinate_system
10080,,,invalid_or_unknown_coordinate_system
10081,,,invalid_or_unknown_coordinate_system
10082,,,invalid_or_unknown_coordinate_system
10084,,,invalid_or_unknown_coordinate_system
10085,,,invalid_or_unknown_coordinate_system
10086,,,invalid_or_unknown_coordinate_system
10087,,,invalid_or_unknown_coordinate_system
10088,,,invalid_or_unknown_coordinate_system
10089,,,invalid_or_unknown_coordinate_system
10090,,,invalid_or_unknown_coordinate_system
10091,,,invalid_or_unknown_coordinate_system
10092,,,invalid_or_unknown_coordinate_system
10093,,,invalid_or_unknown_coordinate_system
10094,,,invalid_or_unknown_coordinate_system
10095,,,invalid_or_unknown_coordinate_system
10096,,,invalid_or_unknown_coordinate_system
10097,,,invalid_or_unknown_coordinate_system
10098,,,invalid_or_unknown_coordinate_system
10099,,,invalid_or_unknown_coordinate_system
10100,,,invalid_or_unknown_coordinate_system
10101,,,invalid_or_unknown_coordinate_system
10102,,,invalid_or_unknown_coordinate_system
10103,,,invalid_or_unknown_coordinate_system
10104,,,invalid_or_unknown_coordinate_system
10105,,,invalid_or_unknown_coordinate_system
10106,,,invalid_or_unknown_coordinate_system
10107,,,invalid_or_unknown_coordinate_system
10108,,,invalid_or_unknown_coordinate_system
10109,,,invalid_or_unknown_coordinate_system
10110,,,invalid_or_unknown_coordinate_system
10111,,,invalid_or_unknown_coordinate_system
10112,,,invalid_or_unknown_coordinate_system
10113,,,invalid_or_unknown_coordinate_system
10114,,,invalid_or_unknown_coordinate_system
10116,,,invalid_or_unknown_coordinate_system
10117,,,invalid_or_unknown_coordinate_system
10119,,,invalid_or_unknown_coordinate_system
10120,,,invalid_or_unknown_coordinate_system
10122,,,invalid_or_unknown_coordinate_system
10124,,,invalid_or_unknown_coordinate_system
10125,,,invalid_or_unknown_coordinate_system
10126,,,invalid_or_unknown_coordinate_system
10127,,,invalid_or_unknown_coordinate_system
10128,,,invalid_or_unknown_coordinate_system
10129,,,invalid_or_unknown_coordinate_system
10130,,,invalid_or_unknown_coordinate_system
10131,,,invalid_or_unknown_coordinate_system
10134,,,invalid_or_unknown_coordinate_system
10135,,,invalid_or_unknown_coordinate_system
10136,,,invalid_or_unknown_coordinate_system
