source_id,shop_name,manager_name,raw_latitude,raw_longitude,reason
115605,سوپر مارکت پورهاشم1,رضا پورهاشم سرحمامی,,,null
115606,فروشگاه عدالت گستر1,محمد هادی حسین زاده گتابی,,,null
115608,سوپر مارکت تقی پور1,رضا تقی پور ارمکی,,,null
115610,سوپر مارکت موسوی11,سید ابراهیم موسوی انیجدان,,,null
115611,سوپر مارکت شهرک7,سروش زندیه,,,null
115612,سوپر مارکت امیر26,احمد عسگردون,,,null
115613,سوپر مارکت سماء1,سید عبد الصمد مرتضوی جلودار,,,null
115614,بیسکویت گرجی1,بهزاد صفاری,,,null
115616,تولیدی کیسه باران1,مهدی یاور پور بالی,,,null
115617,سوپر شهرک معلم1,رضا پاشائی,,,null
115618,مواد غذایی گلچوب1,رحیم آقابراری فیروز,,,null
115619,سوپر مارکت طاها5,امیر علی اکبرنژاد,,,null
115620,سوپر مارکت کمترین1,بابک عموئی,,,null
115621,مواد غذایی سید7,سید محمد ناصر زاده موسوی,,,null
115622,سوپر مارکت ضیاءپور1,سید رضا ضیاء پور,,,null
115623,سوپر مارکت امیر سلیمانی1,اصغر امیرسلیمانی,,,null
115624,مواد غذایی مقدم1,جعفر ولی زاده مقدم,,,null
115626,سوپر حیدری شهمیرزادی1,عبدالرضا حیدری,,,null
115628,سوپر مارکت کوروش11,کوروش محمدپور مرزبالی,,,null
115630,مواد غذایی حبیب زاده1,سعید حبیب زاده,,,null
115631,سوپر مارکت علی بابا1,علی حسینقلی زاده صورتی,,,null
115632,نارنج2,فضل اله رضا زاده,,,null
115633,سوپر مارکت تینار1,سعید قاسم تبار کاشی کلایی,,,null
115635,مواد غذایی بهار2,سید زمان آبان گاه,,,null
115636,مواد غذایی چهار فصل11,سعید بابایی,,,null
115637,سوپر مارکت دانیال11,عباس علی حجتی ملکشاه,,,null
115638,سوپر مارکت ثاقب1,علی اکبر ثاقب,,,null
115639,سوپر مارکت پناه1,امیدرضا حسن زاده,,,null
115640,خواربار آهنگری1,مهدی آهنگری,,,null
115641,سوپر مارکت دهکده3,علی نصراله زاده زواردهی,,,null
115642,مواد غذایی رضوانی1,عبداله رضوانی ولوکلائی,,,null
115643,سوپر مارکت امید2,قاسم عمو احمدی,,,null
115644,سوپر مارکت ماهان3,حمید حاجی آقازاده گروی,,,null
115645,ارزانکده حسینی1,سید حامد حسینی شیروانی,,,null
115646,سوپر مارکت پویا7,محمد علی زواردهی,,,null
115647,سوپر مارکت بهار نارنج11,حامد اصغر زاده سفید گر,,,null
115648,مواد غذایی موسوی11,سیدشعبانعلی موسوی اینجدان,,,null
115649,عسل و پنیر فیروزه جاه1,غلامحسین هادی فیروزجاه,,,null
115650,سوپر مارکت بزرگ شهر1,سیده الهه اسمعیل زاده موسوی,,,null
115651,سوپر مارکت ماهان7,محمد قاسمیان امیری,,,null
115652,سوپر مارکت بزرگ امیر پاشا1,الهه ولی نیا پاشا,,,null
115653,سوپر مارکت ابراهیم1,زمان موسوی اینجدان,,,null
115654,عسل ییلاقی1,سیف اله کاظمی حاجی,,,null
115656,مواد غذایی سید8,سید مبین موسی زاده موسوی,,,null
115657,سوپر مارکت پریور1,مازیار پرویز,,,null
115658,سوپر مارکت دوستان2,حسین داداش قلعی زاده جلودار,,,null
115659,مواد پروئتینی میثم1,سید میثم طاهری,,,null
115660,مواد غدایی ذاکر1,سید محمود حسینی ولوکلا,,,null
115661,مینی سوپر منصور1,منصور صفرزاده صورتی,,,null
115662,سوپر مارکت محمد13,محمد رضا ابراهیم تبار آهنگر,,,null
115663,سوپر مارکت مسعود8,مقصود فرجی نژاد,,,null
115664,سوپر مارکت جعفری4,سید جعفر جعفر شیاده,,,null
115665,سوپر مارکت ابوالفضل3,کامران براری اطاقسرا,,,null
115666,قهوه اریک1,لیلدان سرکیسیان,,,null
115667,عسل کوهستان1,امید ثباتی کردی,,,null
115668,سوپر مارکت پارسیان2,رضا باقریان جلودار,,,null
115671,سوپر مارکت پاسارگاد2,قاسم حیدر قلی زاده کاشیکلائ,,,null
115672,سوپر مارکت نجفی11,ایمان نجفی بندپی,,,null
115673,سوپر مارکت شهروند7,فاطمه حسین زاده آهنگر,,,null
115674,سوپر پاسارگاد1,سیدحسین حسینی شیروانی,,,null
115675,مواد غذایی امین3,عظیم حسین زاده,,,null
115676,گالری گندم1,شکوه مراد,,,null
115677,سوپر مارکت آرایی1,قربانعلی آرایی مشهدسرا,,,null
115678,مواد غذایی صبا1,محسن غلامی نیا طبری,,,null
115679,مواد غذایی سوپر باران1,اصغر خلیل پور علمداری,,,null
115680,سوپر مارکت سید نظام الدین1,اصغر قلی زاده پاشا,,,null
115681,سوپر مارکت منچستر1,ابراهیم ابراهیم تبار جلودار,,,null
115682,سوپر مارکت محمدی11,مصطفی یزدان پناه,,,null
115683,سوپر مارکت امیر محمد11,نقی علیزاده گتابی,,,null
115684,مواد غذایی سید10,سید رضا قادری دون,,,null
115686,مواد غذایی داریوش1,داریوش نقی زاده,,,null
115687,سوپر مارکت پرهام1,محمد کریم نژاد,,,null
115688,مواد غذایی اتابکی1,حسن اتابکی,,,null
115689,سوپر مارکت فرهمند1,محمد فرهمند,,,null
115690,سوپر مارکت میرداماد1,سیدمجتبی عبادیان,,,null
115691,سوپر مارکت ایلیا3,سید احمد فرح بخش,,,null
115693,زغال مکس1,هادی اکبری,,,null
115694,سوپر مارکت دریا8,علیرضا آزادیان,,,null
115695,سوپر مارکت پاچینی1,عباسعلی هاشم زاده,,,null
115696,سوپر مارکت خانواده11,علیرضا رستمی,,,null
115697,تخمه داغ دایی1,سید کمال پیروزمند,,,null
115698,سوپر ترشی محمد1,نوروزعلی کریم تبار بالانقیب,,,null
115699,شرکت فنی مهندسی پویاسیستم1,حسین عزیزی پور,,,null
115700,سوپر مارکت کشاورز11,سعید عزیزی پور,,,null
115701,فرهنگیان1,داود پاشنا,,,null
115703,سوپر مارکت شعبان نتاج1,مهران شعبان نتاج خشکرودی,,,null
115704,سوپر مارکت ونک1,حسینعلی بهمنی,,,null
115705,مواد غذایی بزرگیان1,قربانعلی بزرگیان عربی,,,null
115706,سوپر مارکت دریا9,پروین آقاجانی عزین آبادی,,,null
115707,سوپر مارکت برارجانی1,خلیل برارجانی خوشابی,,,null
115708,سوپر سهیل11,بهلول روشناس,,,null
115709,سوپر سحر1,مرتضی صادقی,,,null
115710,سوپر مارکت خزر11,مجید مجیدی,,,null
115711,سوپر مارکت دریا10,محمد نوری,,,null
115712,سوپر صیاد1,مالک دشتی,,,null
115713,سوپر مارکت مرصاد1,عباس رضی پور اسی,,,null
115714,سوپر مارکت نیکان دو1,علی حسینی,,,null
115715,آراکس1,امیر عزت بقائی,,,null
115716,سوپر مارکت کاویانی1,ذبیح کاویانی,,,null
115717,سوپر مارکت تک15,سید مجتبی پیامی,,,null
115718,پخش مواد غذایی جعفرزاده1,عماد جعفرزاده,,,null
115719,سوپر مارکت مهدیه11,محمد حسن حسین پور,,,null
115720,مواد غذایی صدف2,سیده محبوبه جلالی,,,null
115721,سی ساید باغ رضوان1,سید حسین آقاجانی احمدی,,,null
115722,سی ساید گلپا1,رضا فتحی انار مرزی,,,null
115723,سوپر مرصاد1,عباس رضی پور,,,null
115724,سوپر مارکت کاسپین3,غلامعباس رمضانی,,,null
115725,پخش مواد غذایی براری1,روح اله براری,,,null
115727,مواد غذایی رضا3,عبد العلی امام قلی پور سرخی,,,null
115728,سوپر مارکت صبا2,محسن کریم,,,null
115729,mix marketمیکس مارکت,فاطمه نصیری کناری,,,null
115730,سوپر مارکت متین4,علی یزدانی,,,null
115731,سوسره1,فاطمه محمدپور میر,,,null
115732,سوپر مارکت عباسی11,عشرت السادات عباسی,,,null
115733,سوپر مارکت اطمینان2,علی ملا ابراهیم تبار,,,null
115734,سوپر مارکت سوپراستار1,مصطفی شیرخانی,,,null
115735,سوپر مارکت بزرگ شهر11,سید احمد هاشمی سوته,,,null
115736,سوپر مارکت مهدی30,حمیدرضا شریعتی فوکلائی,,,null
115737,ارزانکده دوشا1,اکبر مهدی پور فریدونی,,,null
115738,سوپر مارکت وحید3,مسعود تاریان آهنگری,,,null
115739,سوپر مارکت بیتا 11,محمود اسفندیار,,,null
115740,بخور بخور1,جعفر اسفندیار,,,null
115741,سوپر مارکت ایثارگران1,سیدمهدی اکبری,,,null
115742,سوپر مارکت مهرام1,حمیدرضا عابدیان کناری,,,null
115743,سوپر مارکت بیتا 111,رجب اسفندیار,,,null
115744,سوپر مارکت توشه راه1,مسعود حجتی منقاری,,,null
115745,سوپر مارکت ایلیا4,نرگس توکلی واسکس,,,null
115746,ُسوپر مارکت میلاد1,اسماعیل دادبین,,,null
115747,سوپر مارکت کیمیا11,حسن علی تبار فرمی,,,null
115748,سوپر مارکت میرجواد1,میر مهرزاد کامرانی,,,null
115749,سوپر مارکت سعید17,سیف اله فرج پور,,,null
115750,سوپر مارکت ستاره شهر11,ایمان نورزاد مرزنگو,,,null
115751,مواد غذایی شهر قشنگ1,آیت اله سیفانی,,,null
115752,سوپر مارکت آرش7,علیرضا نریمانی کناری,,,null
115754,سوپر مارکت رمضانی3,مرتضی رمضانی,,,null
115755,سوپر مارکت پارسا4,سیدابراهیم پناهیان,,,null
115756,سوپر مارکت نمونه11,ناصر رضائی,,,null
115757,سوپر مارکت موج3,علی صالحی بابلی,,,null
115759,ارزانکده سیدابوالفضل11,سید عباس تقوی,,,null
115760,سوپر مارکت رضوان1,سیدنبی مهدوی,,,null
115763,kent درزی1,مهرداد درزی سوته,,,null
115764,سوپر مارکت رضانژاد1,هادی رضانژادسوته,,,null
115765,پخش مواد غذایی سیفی1,حسن سیفی,,,null
115766,سوپر مارکت توکلی11,مسعود توکلی,,,null
115767,ارزانکده گلی1,سیدمحمدمهدی اهنگری,,,null
115768,سوپر مارکت محمدی4,حسین محمدی,,,null
115769,سوپر مارکت امیرحسین1,اسماعیل طهماسبی,,,null
115770,دفتر بازار روز1,ایوب قهرمانی,,,null
115771,میلاد مارکت1,ابوالفضل عزیزی,,,null
115772,سوپر مارکت مسعود9,محمد رضا شیرزاد,,,null
115773,سوپر مارکت خزر6,حشمت اله صادقی,,,null
115774,سوپر مارکت دنیز1,محمد بدخشانی,,,null
115776,سوپر مارکت صیادی1,محمد علی صیادی,,,null
115777,مواد غذایی کاله شیرزاد1,میثم شیرزاد,,,null
115778,سوپر مارکت مائده1,مرتضی صالحی,,,null
115779,سوپر مارکت راستین کاله1,هادی مرتضوی,,,null
115780,سوپر مارکت طاها6,محمدجواد حاجی زاده,,,null
115781,بهار مارکت1,صادقعلی احمدی,,,null
115782,میلاد مارکت11,علی اصغر عزیزی,,,null
115784,سوپر صدف راحله1,رضا حاجی زاده,,,null
115786,سوپر مارکت قاصدک2,علی پروین,,,null
115787,سوپر مارکت ساحل10,علی قره خانی,,,null
115790,پخش دنیا گستر1,امیرحسین بابایی,,,null
115791,پخش مواد غذایی حدیث1,یعقوب علی الهی,,,null
115792,سوپر مارکت بهرام1,بهرام فیروز جاهی,,,null
115793,سوپر مارکت جواد4,جواد جعفری گاوزن,,,null
